food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R101-008000801-0000,멥쌀_쌀눈_생것,100g,441,20.27,26.11,36.81,11.91,농진청
R101-008000849-0000,멥쌀_쌀눈_찐것,100g,152,6.96,8.95,12.74,4.08,농진청
R101-008000858-0000,멥쌀_쌀눈_볶은것,100g,468,21.74,27.77,38.97,12.67,농진청
R101-038210301-0000,찹쌀_칼슘쌀_생것,100g,361,7.09,1.00,77.37,0.09,농진청
R101-050210300-0000,찹쌀밥_칼슘쌀_생것,100g,170,3.39,0.62,36.03,0,농진청
R105-014030050-0000,밥_옥광_구운것,100g,175,3.72,0.73,38.31,8.23,농진청
R106-004010046-0000,갓_돌산갓_삶은것,100g,19,2.17,0.40,2.90,0.72,농진청
R106-004010049-0000,갓_돌산갓_찐것,100g,20,2.31,0.39,3.08,0.74,농진청
R106-039000046-0000,달래_삶은것,100g,58,2.23,0.31,14.09,1.27,농진청
R106-043002601-0000,더덕_순_생것,100g,47,2.23,0.85,9.58,1.68,농진청
R106-043002647-0000,더덕_순_데친것,100g,35,1.83,0.55,7.13,0.61,농진청
R106-044002601-0000,도라지_순_생것,100g,51,2.38,0.84,10.69,1.81,농진청
R106-044002647-0000,도라지_순_데친것,100g,41,1.96,0.63,8.81,1.08,농진청
R106-068007802-0000,무시래기_잎_말린것,100g,249,18.46,5.04,45.41,9.74,농진청
R106-071007691-0000,무말랭이_뿌리_말린것을 불린것,100g,49,1.78,0.25,10.97,3.78,농진청
R106-077030049-0000,미나리_물미나리_찐것,100g,19,1.63,0.23,3.66,1.10,농진청
R106-086000049-0000,방울다다기양배추_찐것,100g,44,4.02,0.35,8.74,3.30,농진청
R106-087060001-0000,배추_알배기_생것,100g,15,1.46,0.09,2.99,2.11,농진청
R106-087060046-0000,배추_알배기_삶은것,100g,17,1.64,0.13,3.27,2.12,농진청
R106-087060049-0000,배추_알배기_찐것,100g,18,1.76,0.11,3.69,1.99,농진청
R106-132000049-0000,양파_찐것,100g,31,1.08,0.18,6.97,4.39,농진청
R106-132020047-0000,양파_자색양파_데친것,100g,27,0.88,0.10,6.23,5.02,농진청
R106-238000001-0000,배추우거지_생것,100g,18,1.35,0.14,3.71,1.81,농진청
R106-238000046-0000,배추우거지_삶은것,100g,18,1.26,0.21,3.66,0.39,농진청
